today,kitchen_scale_number,settlement_name,hh_identifier,transparent_bag,wood_leaves,cardboard_paper,plastic_bottles,plastic_bags,other_plastics,clothes_textiles,rubber,others,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2023-06-15,1,Naperi,10,0.02,4.473,0.043,,0.032,0.036,,,,246755378,68af844f-517c-4c4a-9a60-f40309768534,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,29
2023-06-15,1,Naperi,15,0.19,4.431,0.04,1,,,0.04,,,246755379,bf1b6998-4a8f-4862-a7fd-f584e4a6c973,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,30
2023-06-15,1,Sunnyside,113,0.021,0.266,0.671,0.422,0.889,,,,0.179,246755380,bb4d6b47-2e6a-4b28-a431-fd829115600b,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,31
2023-06-15,1,Sunnyside,49,0.021,,0.547,0.627,0.504,0.433,0.086,,,246755381,a4cc29d2-6a65-4df7-991d-3c6eca02acd6,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,32
2023-06-15,1,Sunnyside,117,0.021,,0.051,0.254,0.247,0.094,,,,246755382,61157e7f-7d12-4e28-bd05-80934f116780,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,33
2023-06-15,1,Sunnyside,115,0.021,,,0.105,0.051,,,,,246755384,621a97c3-fe28-48bf-a000-f11f22e9bd5d,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,34
2023-06-15,1,Sunnyside,52,0.021,,0.043,1.244,0.041,0.087,,,0.027,246755385,d7764d74-e32a-4c46-9763-8b8b04234a1a,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,35
2023-06-15,1,Sunnyside,48,0.021,,0.194,0.441,,0.041,,,,246755387,34a4bbea-7cdb-402b-a19f-8004d1b0d6ff,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,36
2023-06-15,1,Sunnyside,107,0.021,,0.659,,0.377,0.265,,,0.061,246755388,e3c95ae6-2297-4fb4-91b8-61ced64978ed,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,37
2023-06-15,1,Sunnyside,112,0.021,,,0.04,0.216,0.096,,,,246755389,2f4801c5-a4d4-4f77-84c3-dbe13e2bf949,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,38
2023-06-15,1,Sunnyside,106,0.021,0.597,0.033,,0.044,0.039,0.024,,,246755390,17477259-fd44-4e9b-a0a0-54daffaf7673,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,39
2023-06-15,1,Sunnyside,120,0.021,0.568,1.443,3.221,5.334,,3.441,,,246755393,37f0b22a-2db7-4fe1-9f9c-cc1b5d53a423,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,40
2023-06-15,1,Kachere,232,0.018,0.35,0.086,0.086,0.067,,,,,246755394,4f6984bc-69c5-4877-83e9-126693ea99ff,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,41
2023-06-15,1,Kachere,167,0.018,0.171,0.08,,0.109,0.109,,,0.09,246755396,84f01e21-a680-4987-9c80-ef7e70607b2a,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,42
2023-06-15,1,Kachere,166,0.018,,0.29,0.341,0.07,,,,,246755400,d9615ac8-25b2-4668-a545-90260f75c6ca,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,43
2023-06-15,1,Kachere,233,0.018,0.23,0.145,0.341,0.056,,,,,246755402,618c1a9e-52a7-4586-8c6f-7c5aa6e9a224,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,44
2023-06-15,1,Kachere,180,0.018,0.333,0.055,0.624,0.141,0.154,,,,246755405,c1111c39-68a8-4e9f-b483-2b237e292932,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,45
2023-06-15,1,Kachere,234,0.018,4.134,0.037,0.067,0.405,0.067,0.099,,,246755409,82c60f62-5cc5-4de7-8563-5944ce5e6644,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,46
2023-06-15,1,Kachere,231,0.018,,,,0.144,0.069,2.211,,,246755413,3ea65944-6d11-4c26-923b-50fb5bc467c9,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,47
2023-06-15,1,Kachere,226,0.018,0.998,0.053,0.101,0.061,0.034,0.345,,,246755414,bbd6d194-c767-4e8a-bd3e-deb2f9f7ae2d,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,48
2023-06-15,1,Kachere,239,0.018,1.246,0.026,0.23,,,,,,246755417,3083b992-e3a0-495d-8d78-a95f42ddf32a,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,49
2023-06-15,1,Kachere,226,0.018,2.425,0.055,0.48,0.059,0.037,,,,246755420,1184a1ee-ad63-441c-8545-578e0b253bbc,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,50
2023-06-15,1,Bangwe,198,0.188,2.147,,,0.147,,0.52,,,246755421,1c8d0e94-e661-40ea-a814-8996967cb63b,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,51
2023-06-15,1,Bangwe,229,0.188,0.814,0.149,,0.055,0.052,,,,246755422,8d413efe-fa45-4b19-a561-4fd6280007bb,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,52
2023-06-15,1,Bangwe,137,0.188,2.045,0.048,,0.088,,,,,246755423,3580c450-01ae-4b28-ad9c-be0fd3213ecf,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,53
2023-06-15,1,Bangwe,196,0.188,2.754,0.063,,0.165,,,,,246755426,bae122a2-9f67-45ac-8dfe-d5387e3b9d0f,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,54
2023-06-15,1,Bangwe,199,0.188,7.846,0.149,0.169,0.187,0.098,,,0.039,246755429,977365d4-5486-4cae-b5ef-6959582bc10f,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,55
2023-06-15,1,Bangwe,140,0.188,5.381,0.031,,0.535,,0.512,,,246755431,8c5bb17a-5c87-4c79-99cd-e80a7041e928,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,56
2023-06-15,1,Bangwe,200,0.188,7.581,,0.037,,,,,,246755433,7b712e14-fae1-4e2b-8165-8eac06ffc657,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,57
2023-06-15,1,Bangwe,197,0.188,5.03,0.252,0.146,0.272,0.144,,,0.112,246755434,b895ca03-a4c4-4e41-a5b4-b983f87d6314,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,58
2023-06-15,1,Bangwe,229,0.188,4.448,,,0.043,,,,,246755437,21c14d97-532a-44b8-9696-3dbfffd9357c,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,59
2023-06-15,1,Bangwe,138,0.188,1.952,,0.111,0.061,,,,,246755438,93a1d4e8-3bf5-4c25-a360-e8e4044dec7b,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,60
2023-06-16,1,Chirimba,183,0.018,1.594,0.082,0.06,0.244,0.101,,,,246755439,547916ea-988d-4aad-9830-4b844c5a6304,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,61
2023-06-16,1,Chirimba,181,0.018,1.357,0.019,,,0.018,,,,246755440,6a273dd3-3970-47d6-8757-49581246b73d,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,62
2023-06-16,1,Chirimba,159,0.018,4.626,0.12,0.18,0.154,,0.087,,0.112,246755443,ba539da0-95f3-4143-af9e-2a7bbf71b64d,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,63
2023-06-16,1,Chirimba,187,0.018,1.344,,0.067,0.994,0.041,0.044,,,246755445,fad603d3-4344-4924-a8d2-de96f544cd32,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,64
2023-06-16,1,Chirimba,155,0.018,0.788,0.038,,0.066,,,,,246755447,d29ceafa-99ca-4e91-a1a2-8a414c93c832,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,65
2023-06-16,1,Nyambadwe,219,0.018,3.437,0.166,,,,,,,246755449,bb315de0-e2e9-4a05-839e-04c88ac348fb,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,66
2023-06-16,1,Chirimba,156,0.018,1.234,,0.065,0.089,,,,,246755452,dfce38e9-84bc-4282-87b4-55bd8f58825f,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,67
2023-06-16,1,Chirimba,151,0.018,1.29,0.039,,0.088,,,,,246755460,cc57ba77-9162-4c17-804a-c3ae658dae46,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,70
2023-06-16,1,Nyambadwe,225,0.018,6.374,,,0.03,,0.137,,,246755458,ecc5cdee-667e-44ff-b0d7-b551ed7c3176,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,69
2023-06-16,1,Nyambadwe,122,0.018,2.785,1.432,0.56,,0.92,1.411,,,246755461,e8718016-de6a-40c7-bdae-b770f7356b3a,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,71
2023-06-16,1,Nyambadwe,224,0.018,0.55,1.23,8.42,2.32,,,,,246755463,f70ea7f2-5944-450a-b2de-def487d6ffd2,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,72
2023-06-16,1,Chirimba,189,0.018,8.498,5.843,2.869,1.235,4.253,,,,246755465,1c5f207d-05d1-4e0b-9e5c-c3e2ee8bc05a,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,73
2023-06-16,1,Nyambadwe,223,0.018,10.432,5.689,1.265,0.005,6.253,,,0.052,246755468,a9c46f9e-f39b-48ed-84a9-0d6ee2154532,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,74
2023-06-16,1,Nyambadwe,127,0.018,6.443,1.5234523,,8.562,1.253,3.56,,0.005,246755470,04ba17aa-9cb5-4e59-96e4-b09de8867d55,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,75
2023-06-16,1,Nyambadwe,219,0.018,8.436,5.563,8.562,5.865,0.005,,,,246755472,b61bfd20-45a6-4363-8102-90a71365fd83,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,76
2023-06-16,1,Nyambadwe,125,0.018,0.652,,,0.041,,0.126,,,246755476,372ae192-55af-489b-83f0-5c354a420ac0,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,77
2023-06-16,1,Nyambadwe,130,0.018,0.666,0.093,,0.042,0.085,0.046,,,246755479,edad46dd-b370-4993-9a98-73fe01da43eb,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,78
2023-06-16,1,Nyambadwe,211,0.018,8.04,,,0.026,,,,,246755481,457e6d25-28bf-4437-8ebe-01eb14914745,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,79
2023-06-16,1,Chirimba,185,0.018,0.846,0.634,0.17,0.076,,0.119,,,246755484,37171b0d-b562-405e-ad87-7d3214da05b1,6/18/2023,,,submitted_via_web,yesaya,vGwMDJvaMkto9Vi86e7fVP,,80
