"today";"start";"end";"interviewer";"locat";"gender";"wmanagement";"price";"price_per";"religion";"occupation";"income";"males";"females";"daily_waste";"wastecat";"disposal";"disposal/1";"disposal/2";"disposal/3";"disposal/4";"disposal/5";"disposal/6";"disposal/8";"disposal/9";"disposal/10";"disposal/11";"disposal/12";"disposal/13";"disposal/14";"burn_often";"burn_time";"why_burn";"why_burn/1";"why_burn/2";"why_burn/3";"why_burn/4";"why_burn/5";"why_burn/6";"why_burn/7";"why_burn/8";"why_burn/9";"why_burn/99";"why_burn/88";"cooking";"cooking_specify";"cook_place";"times_cook";"vehicles";"ti";"timee";"waste";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2023-06-05";"2023-06-05 12:33:39.312000+02:00";"2023-06-05 16:15:22.479000+02:00";"2";"4";"1";"8";"80000";"4";"1";"8";"995000";"1";"0";"2.0";"2";"4 2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"2";"3";"1";"0";"2";"0";"243596631";"fbd49927-e332-49d2-b219-e88becb291db";"2023-06-05 14:31:10";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"11"
"2023-06-05";"2023-06-05 13:00:27.200000+02:00";"2023-06-05 16:18:46.865000+02:00";"2";"4";"1";"7";"";"";"1";"8";"798000";"2";"2";"5.0";"2";"2 3 6";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"7";"16:17:00.000+02:00";"1 6";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"";"2";"3";"0";"0";"0";"0";"243596635";"3d52fda7-a077-4243-acd8-12250ce2f4ab";"2023-06-05 14:31:10";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"12"
"2023-06-05";"2023-06-05 13:17:04.644000+02:00";"2023-06-05 16:23:47.057000+02:00";"2";"4";"1";"8";"50000";"4";"1";"8";"1700000";"4";"2";"1.0";"2";"3 2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"15:32:00.000+02:00";"1 6";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"88";"Electricity";"1";"3";"2";"4";"2";"1";"243596638";"10ec89e8-d83b-46b2-98ce-fc51fad4e37a";"2023-06-05 14:31:11";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"13"
"2023-06-05";"2023-06-05 13:39:38.243000+02:00";"2023-06-05 16:26:54.174000+02:00";"2";"4";"0";"8";"60000";"4";"1";"8";"865000";"0";"1";"1.0";"2";"10 3";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"16:25:00.000+02:00";"1 6";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"";"2";"1";"0";"0";"0";"0";"243596641";"a59f75b8-468e-415f-a7bd-499ed89f6042";"2023-06-05 14:31:12";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"14"
"2023-06-05";"2023-06-05 14:00:01.412000+02:00";"2023-06-05 16:30:05.205000+02:00";"2";"4";"1";"8";"35000";"4";"1";"8";"2000000";"2";"3";"10.0";"2";"2 3 10 6";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"2";"10:13:00.000+02:00";"1 6";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"";"2";"3";"2";"4";"2";"1";"243596647";"65615276-5e98-4a5f-b18b-a00ad30328a8";"2023-06-05 14:31:12";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"15"
"2023-06-05";"2023-06-05 08:33:10.366000+02:00";"2023-06-05 16:31:10.651000+02:00";"1";"3";"1";"8";"40000";"4";"1";"6";"40000";"2";"2";"20.0";"2";"3 2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"11:16:00.000+02:00";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"";"2";"3";"0";"0";"0";"1";"243596743";"d65b37d0-5d76-4809-999b-64b85f1ff290";"2023-06-05 14:31:33";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"16"
"2023-06-05";"2023-06-05 15:18:09.243000+02:00";"2023-06-05 16:32:21.706000+02:00";"1";"3";"0";"3";"";"";"1";"5";"2000000";"2";"3";"4.0";"2";"2 11";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"electricity";"1";"3";"1";"2";"2";"0";"243597056";"d3d6867d-d0b7-475c-ab9a-a44b81a14071";"2023-06-05 14:32:33";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"17"
"2023-06-05";"2023-06-05 10:31:44.689000+02:00";"2023-06-05 10:54:10.238000+02:00";"1";"3";"1";"8";"130000";"4";"88";"6";"900000";"3";"4";"2.0";"1";"10 11 1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"electricity";"1";"5";"4";"3";"2";"0";"243597159";"abf49490-fdde-41da-bea9-991d6065cee7";"2023-06-05 14:32:57";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"18"
"2023-06-05";"2023-06-05 11:05:59.405000+02:00";"2023-06-05 11:20:25.333000+02:00";"1";"3";"1";"8";"0";"";"1";"6";"50000";"0";"4";"5.0";"4";"3 11";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"6";"17:00:00.000+02:00";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"88";"electricity3";"1";"3";"1";"2";"2";"1";"243597160";"9cfd5114-91e4-4208-803a-df85df44bd71";"2023-06-05 14:32:58";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"19"
"2023-06-05";"2023-06-05 11:35:41.812000+02:00";"2023-06-05 11:43:17.668000+02:00";"1";"3";"1";"8";"5";"4";"1";"6";"9";"5";"2";"8.0";"2";"2 11";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"electricity";"1";"3";"2";"2";"2";"0";"243597162";"4cf42da7-2086-46e0-9b0a-79db1554dce3";"2023-06-05 14:32:58";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"20"
"2023-06-05";"2023-06-05 12:00:01.535000+02:00";"2023-06-05 12:05:54.577000+02:00";"1";"3";"1";"7";"";"";"1";"6";"60000";"1";"1";"4.0";"2";"2 11";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"electricity";"1";"3";"5";"2";"2";"0";"243597163";"0dac435f-a86d-4be7-a6f0-2e493197127b";"2023-06-05 14:32:58";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"21"
"2023-06-05";"2023-06-05 12:17:10.989000+02:00";"2023-06-05 12:26:46.240000+02:00";"1";"3";"1";"7";"";"";"88";"6";"50000";"2";"2";"12.0";"2";"1 3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"09:00:00.000+02:00";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"";"2";"3";"1";"2";"2";"1";"243597165";"f84123f9-9102-49f5-8a99-7e3cb5d19dce";"2023-06-05 14:32:59";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"22"
"2023-06-05";"2023-06-05 12:47:21.828000+02:00";"2023-06-05 12:54:37.503000+02:00";"1";"3";"0";"1";"";"";"1";"3";"600000";"3";"2";"3.0";"1";"2 10";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"electricity";"1";"4";"3";"2";"3";"0";"243597167";"2c03d71a-f700-439e-ad8d-c1973aabe63d";"2023-06-05 14:32:59";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"23"
"2023-06-05";"2023-06-05 13:09:28.392000+02:00";"2023-06-05 13:17:36.733000+02:00";"1";"3";"1";"8";"50000";"4";"1";"6";"400000";"2";"1";"6.0";"2";"3 2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"13:12:00.000+02:00";"1 2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"88";"electricity";"1";"3";"2";"2";"2";"0";"243597170";"1c13a128-d566-4f64-8d65-3ec41ac82101";"2023-06-05 14:33:00";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"24"
"2023-06-05";"2023-06-05 13:23:21.557000+02:00";"2023-06-05 13:31:22.170000+02:00";"1";"3";"1";"8";"50000";"4";"1";"6";"300000";"3";"2";"10.0";"2";"2 3";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"09:27:00.000+02:00";"1 2 3";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"88";"electricity";"1";"3";"2";"2";"2";"1";"243597174";"d3535801-356e-45b7-8a2d-cb3f2abde24f";"2023-06-05 14:33:00";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"25"
"2023-06-05";"2023-06-05 13:47:47.153000+02:00";"2023-06-05 14:13:01.690000+02:00";"1";"3";"0";"8";"35000";"4";"1";"6";"500000";"1";"1";"16.0";"2";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"17:00:00.000+02:00";"1 2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"88";"electricity3";"1";"3";"1";"2";"2";"1";"243597175";"4c90d87e-e75d-43cf-8d6f-8caad75c3025";"2023-06-05 14:33:01";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"26"
"2023-06-05";"2023-06-05 14:13:04.892000+02:00";"2023-06-05 14:22:32.411000+02:00";"1";"3";"1";"8";"75000";"4";"1";"6";"75000";"3";"4";"12.0";"2";"2 3 10";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"6";"17:00:00.000+02:00";"1 2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"88";"electricity";"1";"3";"3";"2";"2";"1";"243597176";"5ce59e8c-11ef-4089-9d61-5f78ed25ef7f";"2023-06-05 14:33:01";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"27"
"2023-06-05";"2023-06-05 14:33:05.609000+02:00";"2023-06-05 14:43:11.536000+02:00";"1";"3";"1";"8";"50000";"4";"1";"6";"50000";"4";"2";"8.0";"2";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"17:00:00.000+02:00";"1 2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"88";"electricity";"1";"3";"2";"2";"2";"1";"243597179";"c3cab034-4fe6-4f41-8e09-ad6336eba839";"2023-06-05 14:33:02";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"28"
"2023-06-05";"2023-06-05 14:49:51.341000+02:00";"2023-06-05 14:53:26.545000+02:00";"1";"3";"0";"7";"";"";"2";"3";"1000000";"2";"3";"4.0";"1";"2 11";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"electricity";"1";"3";"1";"3";"2";"0";"243597180";"a7303141-3a4e-44a8-806a-27170528506e";"2023-06-05 14:33:02";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"29"
"2023-06-05";"2023-06-05 15:03:29.588000+02:00";"2023-06-05 15:11:51.431000+02:00";"1";"3";"1";"8";"50000";"4";"1";"6";"50000";"2";"1";"12.0";"2";"11 2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"electricity";"1";"3";"5";"2";"2";"0";"243597181";"b3f8d10c-82d8-4cee-82d3-3c1e9695c869";"2023-06-05 14:33:03";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"30"
"2023-06-05";"2023-06-05 09:54:17.704000+02:00";"2023-06-05 10:03:03.053000+02:00";"3";"5";"0";"1";"";"";"1";"3";"80000";"2";"3";"2.0";"2";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"2";"3";"0";"0";"0";"0";"243615179";"5e624ae654d245629a8d7fbe7fafbedd";"2023-06-05 15:32:45";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"31"
"2023-06-05";"2023-06-05 10:25:25.915000+02:00";"2023-06-05 10:37:59.150000+02:00";"3";"5";"0";"8";"1000";"1";"1";"8";"250000";"3";"2";"1.0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"2";"3";"1";"1";"2";"0";"243615201";"625078c37af04eaa8fceb9a8388b7a23";"2023-06-05 15:32:49";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"32"
"2023-06-05";"2023-06-05 11:23:27.188000+02:00";"2023-06-05 11:28:36.911000+02:00";"3";"5";"0";"8";"1000";"2";"2";"4";"70000";"2";"2";"2.0";"4";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"2";"2";"0";"0";"0";"0";"243615211";"859ace8e708247a68e121a25fcc341e9";"2023-06-05 15:32:51";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"33"
"2023-06-05";"2023-06-05 11:43:04.010000+02:00";"2023-06-05 16:58:13.624000+02:00";"3";"5";"0";"1";"";"";"1";"4";"50000";"2";"3";"1.0";"2";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"09:00:00.000+02";"1 3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"";"1";"3";"0";"0";"0";"1";"243615225";"3ee0974dbde343e99c592b0f35aefe25";"2023-06-05 15:32:53";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"34"
"2023-06-05";"2023-06-05 11:57:18.632000+02:00";"2023-06-05 12:04:55.668000+02:00";"3";"5";"0";"8";"500";"1";"1";"6";"80000";"2";"1";"1.0";"2";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"1";"3";"0";"0";"0";"0";"243615237";"bb85e79364b1442ebfce0e29dc117557";"2023-06-05 15:32:55";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"35"
"2023-06-05";"2023-06-05 12:08:51.666000+02:00";"2023-06-05 12:30:58.619000+02:00";"3";"5";"0";"8";"500";"1";"1";"2";"150000";"0";"2";"2.0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"2";"3";"0";"0";"0";"0";"243615251";"ea419d7d9d80425e8632e2b5b393f648";"2023-06-05 15:32:57";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"36"
"2023-06-05";"2023-06-05 12:37:38.600000+02:00";"2023-06-05 17:10:19.214000+02:00";"3";"5";"0";"3";"";"";"1";"8";"150000";"4";"1";"1.0";"2";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"09:00:00.000+02";"1 3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"";"2";"3";"0";"0";"0";"1";"243615259";"0e15c5f423a24e37befcef5efaa40e97";"2023-06-05 15:32:59";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"37"
"2023-06-05";"2023-06-05 13:12:32.016000+02:00";"2023-06-05 13:23:50.925000+02:00";"3";"5";"0";"1";"";"";"2";"4";"50000";"4";"3";"1.0";"4";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"18:00:00.000+02";"1 2 3 6";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"2";"";"2";"3";"0";"0";"0";"1";"243615268";"2c4176afc5fd4681b68074bbad12e04b";"2023-06-05 15:33:01";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"38"
"2023-06-05";"2023-06-05 13:43:08.674000+02:00";"2023-06-05 13:52:04.253000+02:00";"3";"5";"0";"1";"";"";"2";"4";"150000";"4";"1";"3.0";"2";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"09:00:00.000+02";"1 2 3";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"";"2";"3";"0";"0";"0";"1";"243615277";"de9e82ba622f446690cdb8f06bfe828b";"2023-06-05 15:33:03";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"39"
"2023-06-05";"2023-06-05 13:57:39.152000+02:00";"2023-06-05 14:08:05.389000+02:00";"3";"5";"0";"3";"";"";"1";"4";"80000";"2";"2";"2.0";"2";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"08:00:00.000+02";"1 2 3";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"";"2";"3";"0";"0";"0";"1";"243615289";"aa164de3bc5b46e9858f3ffb74cf21a8";"2023-06-05 15:33:04";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"40"
"2023-06-05";"2023-06-05 14:18:55.772000+02:00";"2023-06-05 14:47:08.220000+02:00";"3";"5";"0";"8";"500";"1";"2";"4";"80000";"3";"5";"1.0";"5";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"2";"3";"0";"0";"0";"0";"243615294";"c8944eafa91d4774a05d44aeff2248ff";"2023-06-05 15:33:06";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"41"
"2023-06-05";"2023-06-05 15:41:28.705000+02:00";"2023-06-05 17:09:32.457000+02:00";"3";"5";"1";"8";"1000";"1";"1";"6";"200000";"2";"1";"1.0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"2";"3";"0";"0";"0";"0";"243615302";"cbbc749d6ffc4356a9fc0a48f3bdbc31";"2023-06-05 15:33:08";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"42"
"2023-06-05";"2023-06-05 15:53:28.591000+02:00";"2023-06-05 16:30:57.191000+02:00";"3";"5";"0";"8";"500";"1";"2";"4";"150000";"1";"2";"2.0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"2";"3";"0";"0";"0";"0";"243615315";"59c80d6e2394452f8752f5429b368c32";"2023-06-05 15:33:09";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"43"
"2023-06-05";"2023-06-05 16:47:36.646000+02:00";"2023-06-05 16:54:54.287000+02:00";"3";"5";"0";"4";"";"";"1";"3";"250000";"2";"2";"2.0";"2";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"09:00:00.000+02";"1 2 3";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"";"2";"3";"0";"0";"0";"1";"243615326";"ae895c7619224f7d9a65cbebd8c07686";"2023-06-05 15:33:11";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"44"
"2023-06-05";"2023-06-05 17:28:27.105000+02:00";"2023-06-05 17:32:17.980000+02:00";"3";"5";"1";"3";"";"";"2";"8";"70000";"1";"2";"1.0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"2";"3";"0";"0";"0";"0";"243615335";"4c58098a3d6546569089782b525c1fc8";"2023-06-05 15:33:13";"";"";"submitted_via_web";"";"v658mVuzXYcbixprT4AiPn";"";"45"
